rank,species_id,cultivar_id,한국어 대표명,영어 대표명,학명,사용자 등록/검색 수,KR 보편성,DE 보편성,DB 대표성,최종 점수,선정 이유,권장 파일명
1,cf4f6745-1c66-4edb-b065-49e19630e7ab,,몬스테라,Monstera,Monstera deliciosa,14 / 미수집,95,95,64,85.1,활성 실등록 14건; 프로젝트 우선순위 100; 덩굴 식물군 대표성,species_cf4f6745-1c66-4edb-b065-49e19630e7ab.webp
2,1360e75c-9fa0-4a09-bc3e-fc004982e358,,스파티필름,Peace lily,Spathiphyllum wallisii,2 / 미수집,95,94,85,82.9,활성 실등록 2건; 프로젝트 우선순위 98; 꽃 식물군 대표성,species_1360e75c-9fa0-4a09-bc3e-fc004982e358.webp
3,19635284-6724-4769-95e0-268aae8f56bd,,알로에,Aloe vera,Aloe vera,0 / 미수집,92,91,96,79.2,프로젝트 우선순위 94; 다육 식물군 대표성,species_19635284-6724-4769-95e0-268aae8f56bd.webp
4,028f6abf-6c1b-41af-a77b-80b9a5e34541,,로즈마리,Rosemary,Salvia rosmarinus,1 / 미수집,90,89,84,77.9,활성 실등록 1건; 프로젝트 우선순위 92; 허브 식물군 대표성,species_028f6abf-6c1b-41af-a77b-80b9a5e34541.webp
5,f656d646-7f10-41c2-8e27-52fcc3d636fe,,스킨답서스,Pothos,Epipremnum aureum,3 / 미수집,93,92,64,76.4,활성 실등록 3건; 프로젝트 우선순위 95; 덩굴 식물군 대표성,species_f656d646-7f10-41c2-8e27-52fcc3d636fe.webp
6,60485285-0129-42de-a399-e4cb8690c2ce,,염자,Jade plant,Crassula ovata,0 / 미수집,85,85,96,75.9,프로젝트 우선순위 88; 다육 식물군 대표성,species_60485285-0129-42de-a399-e4cb8690c2ce.webp
7,b227a911-8a27-411e-92a3-4ef874e7dee9,,산세베리아,Snake Plant,Dracaena trifasciata,4 / 미수집,87,87,66,75.5,활성 실등록 4건; 프로젝트 우선순위 90; 관엽 식물군 대표성,species_b227a911-8a27-411e-92a3-4ef874e7dee9.webp
8,dedf3b00-c449-4059-be62-4cac87382f32,,테이블야자,Parlor palm,Chamaedorea elegans,0 / 미수집,83,83,96,75.0,프로젝트 우선순위 86; 야자 식물군 대표성,species_dedf3b00-c449-4059-be62-4cac87382f32.webp
9,2ccdb443-1e9f-4ac4-89c0-c154de8dfae7,,아레카야자,Areca palm,Chrysalidocarpus lutescens,0 / 미수집,83,83,96,74.8,프로젝트 우선순위 85; 야자 식물군 대표성,species_2ccdb443-1e9f-4ac4-89c0-c154de8dfae7.webp
10,7a540a4b-a51c-4752-a2e4-ab7f44ed8015,,금전수,ZZ plant,Zamioculcas zamiifolia,2 / 미수집,95,95,61,74.7,활성 실등록 2건; 프로젝트 우선순위 99; 관엽 식물군 대표성,species_7a540a4b-a51c-4752-a2e4-ab7f44ed8015.webp
11,6c3867a6-facd-4977-94ec-90bef8d0c38b,,바질,Basil,Ocimum basilicum,0 / 미수집,91,90,84,74.6,프로젝트 우선순위 93; 허브 식물군 대표성,species_6c3867a6-facd-4977-94ec-90bef8d0c38b.webp
12,8b1431e4-a943-4783-aa98-732ce54e5f48,,아프리칸 바이올렛,African violet,Streptocarpus ionanthus,0 / 미수집,80,80,90,71.4,프로젝트 우선순위 82; 꽃 식물군 대표성,species_8b1431e4-a943-4783-aa98-732ce54e5f48.webp
